Тип ткани;λ;μa;μs;g;n
Эпидермис_светлый;350;9.99;210.4;0.702;1.43
Эпидермис_светлый;400;6.77;156.3;0.712;1.43
Эпидермис_светлый;450;4.41;121.6;0.728;1.43
Эпидермис_светлый;500;2.58;93.01;0.745;1.43
Эпидермис_светлый;550;1.63;74.70;0.759;1.43
Эпидермис_светлый;600;1.47;63.76;0.774;1.43
Эпидермис_светлый;650;1.2;55.48;0.787;1.43
Эпидермис_светлый;700;1.06;54.66;0.804;1.43
Дерма_человека;350;20.74;212.7;0.715;1.41
Дерма_человека;400;13.82;159.9;0.715;1.41
Дерма_человека;450;9.31;124.1;0.715;1.41
Дерма_человека;500;8.37;92.24;0.715;1.41
Дерма_человека;550;7.86;77.22;0.715;1.41
Дерма_человека;600;6.94;63.09;0.715;1.41
Дерма_человека;650;6.57;55.98;0.715;1.41
Дерма_человека;700;6.52;53.62;0.715;1.41
Подкожный_жир_n6;400;2.26;13.4;0.72;1.44
Подкожный_жир_n6;500;1.49;13.8;0.73;1.44
Подкожный_жир_n6;600;1.18;13.4;0.74;1.44
Подкожный_жир_n6;700;1.11;12.2;0.75;1.44
Подкожный_жир_n10;400;11.98;49.5; 0.7;1.44
Подкожный_жир_n10;500;4.50;35.4;0.7;1.44
Подкожный_жир_n10;600;1.89;27.0;0.7;1.44
Подкожный_жир_n10;700;1.27;23.0;0.7;1.44
